web-scraper-order,web-scraper-start-url,photo-src,title,price
"1676377601-305","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://36.img.avito.st/image/1/1.0ek-LLa2fQBIi88BED-erfePfQqAT3uyi49_.RRhWzYRstYpLkXffwWk9dDRX4eeJM8EOWh4QNFk7KrA","Утюг Philips","2 500 ₽"
"1676377601-306","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://12.img.avito.st/image/1/1.bRurY7a2wfLdxHPz_VYXX2LAwfgVAMdAHsDD.8c1huhAfVoOEZdbKJGhZxQ5fkjUjapfWkyTdADPK-9Y","Утюг с парогенератором Philips","7 800 ₽"
"1676377601-307","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://12.img.avito.st/image/1/1.2WSxEra2dY3HtceMj0nFIHixdYcPcXM_BLF3.WsIUCTQGotiOHRb7r9b2wZMpJ-rywpgX4gPm4_DXyzU","Робот Пылесос Iboto X410","4 500 ₽"
"1676377601-308","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://67.img.avito.st/image/1/1.dvWuX7a22hzY-GgdznpWsGf82hYQPNyuG_zY.hl7oW0snJ1jZyMtLKkTwhYrQ68RHWToDTN_8r59njtI","Робот пылесос Ecovacs Debot D03G.02","9 000 ₽"
"1676377601-309","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://43.img.avito.st/image/1/1.HsWfvba2sizpGgAtr80Ig1YesiYh3rSeKh6w.ZsuUYeDBScwpEYfkzFLBobJJ6EcI0QsvnXSj45dDxGs","Робот пылесос Ecovacs Debot DC3G","7 200 ₽"
"1676377601-310","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://27.img.avito.st/image/1/1.ygg2Ira2ZuFAhdTgLlXtT_-BZuuIQWBTg4Fk.15jkcCpJnb1Tu5Zp8ISLAKpi1OJQBJkp1DY8Ndxplu4","Ручной Пылесос Philips FC6164","7 200 ₽"
"1676377601-311","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://83.img.avito.st/image/1/1.5vXwvba2ShyGGvgdsJKxtTkeShZO3kyuRR5I.vXHz4n9sp30CbecuA_u5VkQHi6RSW2Qi1l1X2MnzMF0","Пылесос Samsung SC5251","4 200 ₽"
"1676377601-312","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://85.img.avito.st/image/1/1.VCy2XLa2-MXA-0rEkgk9d3v_-M8IP_53A__6.tAk9Hazkrcyn-43_rXk9AEv4FO0dh6RXugWcW28NMbI","Nissan Wingroad, 1998","110 000 ₽"
"1676377601-313","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://06.img.avito.st/image/1/1.B9JK5ba2qzs8Qhk6SL0RuYNGqzH0hq2J_0ap.Fia-7N-nUnoSaVzTjp98Byyv6y9nxONAbdBeCCHsRj0","iPhone XS 64 gb","19 990 ₽"
"1676377601-314","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://48.img.avito.st/image/1/1.sRu4JLa2HfLOg6_z1gbWQXOHHfgGRxtADYcf.6Zugztc7FKp9VV3oe5Rh0P4v1zxgJCUA8rMq0acfKpQ","Honor 10 lite 3/32","5 000 ₽"
"1676377601-315","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://59.img.avito.st/image/1/1.Qpt9ILa27nILh1xzdSlk9LaD7njDQ-jAyIPs.XUmVNdJGqqoN-03qdNVf2FJ24Lm6LS0C50cbk875kBE","Samsung Galaxy A32 4/128","10 300 ₽"
"1676377601-316","https://www.avito.ru/user/5b326dfd4bf0d9606d4931a107859f56/profile?id=2840424375&src=item&page_from=from_item_card&iid=2840424375","https://00.img.avito.st/image/1/1.SQaw3La25e_Ge1furuFQbXt_5eUOv-NdBX_n.K3YHo6siU0LByBrztMHwi9Lk1VkfhAvpcThewggmvkQ","Huawei P Smart Z 4/64","7 200 ₽"
